OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,REMOVED_BOOL,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,S1N04LR,4/27/2018 04:51:00 PM,6/12/2018,1,21,0,26,,132,167
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SUOGK6P,5/29/2018 07:43:00 AM,8/1/2018,1,21,0,39,1,145,11182
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SISPMUS,6/24/2018 08:08:00 AM,9/19/2018,1,21,0,37,1,195,859
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SN96Y9Y,11/9/2018 04:48:00 PM,11/20/2018,1,21,0,3,1,30,1155
JUE,784,737,34,KF5BMNRS,PQ3GFNA93Z,S01HBRR,4/25/2015 08:50:30 AM,7/2/2015,1,23,0,39,4,152,4287
JUE,784,737,34,KF5BMNRS,PQ3GFNA93Z,SKMKJWI,7/2/2015 07:10:14 AM,6/13/2017,1,24,0,417,28,1461,1461
JUE,784,737,34,KF5BMNRS,PQ3GFNA93Z,S5Q11AW,11/19/2017 03:20:00 AM,11/20/2017,1,26,0,,,4,4
JUE,784,737,34,O9AFQD5K,ZHUEKNDS40,SNKP98N,6/9/2013 03:15:05 PM,7/20/2016,1,22,4,382,29,2154,3432
JUE,784,737,34,O9AFQD5K,ZHUEKNDS40,SU6B4M0,3/2/2015 03:42:59 PM,7/20/2016,1,23,0,269,22,1002,4193
JUE,784,737,34,L9YH1MM6,IJEYMHGYT8,SR8NKY8,10/11/2014 10:20:44 AM,11/5/2014,1,23,0,14,2,56,56
JUE,784,737,34,L9YH1MM6,IJEYMHGYT8,S7EASIG,11/3/2013 10:03:52 AM,11/24/2014,1,22,4,52,3,647,1863
JUE,784,737,34,L9YH1MM6,IJEYMHGYT8,SH5C1CW,11/28/2014 07:36:49 AM,12/4/2014,1,23,0,3,1,18,18
JUE,784,737,34,L9YH1MM6,IJEYMHGYT8,SHK7X4P,12/8/2014 11:36:39 AM,1/22/2015,1,23,0,31,1,124,124
JUE,784,737,34,L9YH1MM6,IJEYMHGYT8,S5I4DL4,4/20/2015 08:23:26 AM,11/5/2018,1,23,0,763,54,2623,2623
JUE,784,737,34,G2H93V08,WVZTDGKZPN,SOUPXIW,4/23/2013 01:27:37 PM,12/8/2014,1,21,4,60,4,1038,16682
JUE,784,737,34,V0YX3W1E,0933NB9ATX,STIHG5I,9/10/2014 02:38:17 PM,12/2/2014,1,23,0,44,4,168,168
JUE,784,737,34,V0YX3W1E,0933NB9ATX,S5XJA7T,12/6/2014 08:51:40 AM,6/1/2015,1,23,0,99,7,423,423
JUE,784,737,34,V0YX3W1E,0933NB9ATX,SDXWZTG,4/1/2017 01:17:18 PM,11/27/2017,1,25,0,172,8,382,382
JUE,784,737,34,V0YX3W1E,0933NB9ATX,SDXWZTG,11/27/2017 03:00:00 AM,5/12/2018,1,26,0,67,8,0,382
JUE,784,737,34,V0YX3W1E,0933NB9ATX,SHYVTYZ,5/17/2018 04:11:00 AM,5/20/2018,1,26,0,3,1,9,16718
JUE,784,737,34,GMW3M1MW,JM7F67M8WI,SL8WHRW,2/21/2014 02:31:41 PM,4/10/2019,1,22,4,1010,68,3706,4839
JUE,784,737,34,XYX3VDYJ,A7FPZXYSCS,SCYWYIS,6/11/2014 08:22:49 AM,4/9/2019,1,23,1,1010,68,3487,3842
JUE,784,737,34,ZG4ZMQHO,HJAE2I80OE,S8Q9TPX,12/13/2014 08:20:18 AM,10/28/2018,1,23,0,815,56,2918,2918
JUE,784,737,34,ZG4ZMQHO,HJAE2I80OE,SDBIH44,3/28/2019 04:00:00 AM,4/1/2019,1,27,0,5,,8,12684
JUE,784,737,34,9RUMUTNF,H4PTOWFVMK,SUZEBN0,4/5/2018 05:25:00 AM,6/27/2018,1,26,0,43,4,192,1062
JUE,784,737,34,R8G1QOA4,8Y7QOSPFHB,SWI3BTG,10/31/2016 11:05:56 AM,9/7/2017,1,25,0,181,9,649,6418
JUE,784,737,35,8WHOXP3G,ZJLUTTH9JU,SSZ16FN,6/24/2015 08:42:56 AM,7/18/2016,1,24,0,207,16,737,11029
JUE,784,737,35,8WHOXP3G,ZJLUTTH9JU,SLCJ97Y,1/22/2019 10:42:00 AM,1/22/2019,1,27,0,,,0,22777
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SUOGK6P,11/19/2018 08:01:00 AM,11/30/2018,1,21,0,8,,30,11212
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,S66BN28,10/19/2018 07:40:00 AM,11/30/2018,1,21,0,17,1,104,1325
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SNZUX8D,6/20/2018 06:54:00 AM,11/30/2018,1,21,0,67,2,369,1853
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,S7SQCG4,5/27/2018 05:08:00 PM,1/6/2019,1,21,0,96,2,521,2026
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SI5IV02,1/23/2019 08:10:00 AM,2/15/2019,1,22,0,14,,50,1790
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,S66BN28,3/10/2019 06:58:00 AM,3/10/2019,1,22,0,,,0,1325
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,S1N04LR,3/27/2019 07:06:00 AM,7/2/2019,1,22,2,29,,152,609
VST,479,737,36,6ARSRTYM,XFRH0YNZZC,SXNNIGX,4/4/2018 04:18:00 PM,4/4/2018,1,21,0,,,0,0
VST,479,737,38,9OEYFG52,08FUHAGPYV,S9KBOH1,12/11/2016 11:00:27 AM,12/10/2016,1,19,0,,,0,0
JUE,784,737,35,6D5FGSHS,FDO7Z6CGG5,SG2O7A1,9/15/2013 12:57:03 PM,8/17/2014,1,22,2,4,,556,4583
JUE,784,737,35,6D5FGSHS,FDO7Z6CGG5,SFM9ACN,2/16/2015 11:47:30 AM,11/19/2015,1,23,0,158,15,606,1212
JUE,784,737,35,6D5FGSHS,FDO7Z6CGG5,SYSMNBU,6/7/2014 08:17:35 AM,11/27/2015,1,23,0,266,22,1075,2617
JUE,784,737,35,6D5FGSHS,FDO7Z6CGG5,SBPOTKP,4/8/2014 10:12:19 AM,11/27/2015,1,22,0,266,22,1211,6057
JUE,784,737,35,6D5FGSHS,FDO7Z6CGG5,SG2O7A1,8/18/2014 09:22:05 AM,12/17/2016,1,23,0,468,36,1727,6310
JUE,784,737,35,6D5FGSHS,FDO7Z6CGG5,S1CXI7S,1/19/2018 07:11:00 PM,10/6/2018,1,26,0,131,7,591,5669
JUE,784,737,38,N4FH7T80,WF0GJLJ253,S22UH3O,9/26/2016 11:17:33 AM,11/4/2018,1,25,0,458,30,1583,1583
JUE,784,737,38,ETD042M0,J90AC89WMI,SDXS2D7,8/6/2014 09:06:44 AM,8/11/2014,1,23,0,1,,0,0
JUE,784,737,38,J2US1GG6,2DGD3BCKUC,SZ2LV14,11/21/2016 10:48:50 AM,11/21/2016,1,25,0,,,0,0
JUE,784,737,38,MXXVGQJA,7LNUBN7I9O,STDJXKR,8/13/2014 08:32:40 AM,8/17/2014,1,23,0,3,,0,0
JUE,784,737,44,EOW9EFME,FWYLO5EBDL,S7PBY83,9/7/2014 01:20:49 PM,9/3/2014,1,23,0,,,0,0
JUE,784,737,44,EOW9EFME,FWYLO5EBDL,SCQ292S,1/22/2017 12:27:21 PM,5/8/2018,1,25,0,283,18,918,1683
JUE,784,737,44,SGVQIETH,S9E5H3H68L,SK9M2Q7,2/26/2017 02:44:36 PM,2/23/2017,1,25,0,,,0,0
JUE,784,737,44,SGVQIETH,G2RH1GEHC9,S9CKLED,2/15/2015 02:45:41 PM,2/13/2015,1,23,0,,,0,0
JUE,784,737,44,SGVQIETH,G2RH1GEHC9,S7O8QED,2/15/2015 02:45:39 PM,2/13/2015,1,23,0,,,0,0
JUE,784,737,44,SGVQIETH,G2RH1GEHC9,SWUOKQN,2/15/2015 02:45:38 PM,2/13/2015,1,23,0,,,0,0
JUE,784,737,44,IDD52GL9,34OR8H5B22,SXQD00U,4/20/2015 08:55:34 AM,7/29/2018,1,23,0,692,49,2373,2373
JUE,784,737,44,IDD52GL9,34OR8H5B22,SDK9RMH,7/29/2018 07:00:00 PM,11/18/2018,1,27,0,77,5,306,306
JUE,784,737,49,ODUACI0R,8POD6GSA6U,SN8GDBL,10/23/2016 01:20:04 PM,11/25/2016,1,25,0,16,,80,2316
JUE,784,737,56,8UHVXJBU,1BURVO0TE1,SSE80PG,11/7/2017 10:40:00 AM,11/7/2017,1,26,0,,,0,0
JUE,784,737,22,47PV2W0A,CTW0693D6R,SY9RNBX,9/15/2017 08:00:00 PM,9/15/2017,1,26,0,,,0,0
